ABC,-0.00458035,-0.013220316,-0.007179706,-0.00413365,0.022971451,0.000228589,0.010628524,0.006628678,0.001280869,-0.000349284,-0.011506155,-0.007083229,-0.00534092,-0.016540042,0.007544252,-0.003702053,0.009398721,-0.003385656,-0.005276167,0.006781182,-0.016779587,-0.024287162,0.003154242,-0.003144324
AME,0.001676915,-0.007581435,-0.000739043,-0.001291751,0.004821046,0.008037383,0.001497604,-0.000748242,0.001874025,0.001125741,-0.016786571,-0.001841318,0.003881756,0,0.012918873,-0.014188323,0.01212237,-0.003160476,-0.013389582,0.000183504,-0.001831207,-0.004375547,0.0027422,-0.010133877
AMGN,0.002867789,-0.001097141,-0.001885862,0.008095223,-0.010017661,-0.001212765,-0.005007849,-0.001806721,-0.008420448,0.00359599,-0.014121951,0.003736457,-0.063849869,-0.013636391,0.01376866,-0.005136747,-0.002149465,0.01408453,0.006412414,0.002255012,-0.011590337,-0.004106493,0.011961532,-0.000953759
APH,-0.005548428,-0.012364719,-0.010015315,0.008133516,-0.000140241,0.004790039,0.000140933,0.000987292,-0.000845505,0.007811319,-0.013036053,0,-0.00139986,-0.00362622,0.012825979,-0.006163352,0.011906396,0.005845507,-0.003410037,0.001565404,0.001996274,-0.004824805,-0.000141902,-0.005643265
APC,0.014889108,-0.003387081,-0.002734406,-0.004483635,0.021426268,0.02002002,-0.006629118,-0.00740255,-0.013629726,-0.003073423,-0.0162317,-0.006482213,-0.002365962,-0.010611735,0.036725465,-0.016077666,0.015026677,-0.000807233,0.008794739,-0.027865706,-0.001422925,0.001424968,-0.013730647,-0.029233577
ADI,0,-0.008663808,-0.003041363,0.003540386,-0.003527896,0.009827948,-0.002939699,0.001226367,-0.007062859,0.00391198,-0.013268986,-0.004323805,0.006528058,-0.009459957,-0.002031525,0.011116457,0.006812713,-0.011662872,-0.003713524,0.000839216,-0.005247394,0.008054797,-0.005618673,-0.001313276
ANTM,-0.004745078,0.006711815,-0.010174749,0.012728852,0.002308566,0.01485914,-0.003440848,-0.015902799,-0.006368643,-0.003293628,-0.003580112,-0.004041172,-0.000890595,-0.004609923,0.024337112,-0.012317699,0.004987687,0.001384108,0.003199511,0.001753749,0.00102507,-0.000963876,0.000180752,-0.005989102
AON,0.004817037,-0.003033111,0.001772443,0.006114139,-0.009421223,0.005838015,0.005530041,0.000510708,-0.001953921,0.001190771,-0.005161618,-0.00613913,-0.002767477,0.001848437,0.005066703,-0.004371986,0.009163423,0.01315223,0.006140797,0.000692418,-0.001469173,-0.006610611,0.000171767,-0.008935435
APA,0.016653566,-0.006810625,-0.013438299,-0.020496427,0.038266282,0.030168945,-0.010350338,0.00299465,-0.008903858,0.004771412,-0.012369939,-0.00566187,0.002740779,0.000195849,0.01470292,0.003389195,-0.001393589,-0.007900474,0.024691378,-0.03646644,-0.017436291,0.001919735,0.003274307,-0.01945237
AIV,0.002707559,-0.000676392,0.00067685,-0.001801847,0.001127486,0.002939778,-0.011622731,0.000671058,0.004493395,0.001124584,0.008391903,-0.002714295,0.00181278,-0.004736107,0.028531639,0,-0.007368156,-0.007541088,-0.020810047,-0.016288818,0.003977901,-0.003084358,-0.003293851,-0.010430226
AAPL,0.007446117,0.000278386,-0.001875836,-0.00131836,0.002225257,0.020726845,0.001706527,-0.001986936,-0.003535568,0.011298642,-0.011452078,0.010500764,-0.004975457,0.001637441,0.010576314,-0.001508563,0.000431206,0.003317032,-0.002302209,-0.003727093,0.001291862,-0.003147825,0.005900921,-0.005937378
AMAT,0.002828516,-0.000257147,0.000257213,0.000514536,0.00128797,-0.001029362,-0.002822684,0.00308888,0.000772746,0.006220788,-0.025018903,0.007382918,0.005889885,0.003340211,0.016984531,-0.004422451,0.008394544,0.019796629,0.005108954,0.005950717,0.002984265,-0.000271169,0.010413729,-0.009769227
ADM,-0.008515262,-0.005212902,-0.001518109,-0.00281144,0.0113736,0.008158832,-0.00504616,-0.000657729,0,0.014682981,0.002229721,0.00290691,-0.002898484,-0.003554766,0.007611373,-0.000671208,-0.007548845,0.013957745,0.009774857,-0.010571233,-0.006702391,-0.009734579,-0.00615653,-0.022145733
ARNC,0.007639381,-0.006074412,-0.008283095,0.013740381,-0.031065088,0.018072365,-0.004497789,0,0.006792453,-0.009345794,-0.040186615,0.013454582,0.00658858,0.002201027,0.022122235,-0.004850709,-0.001118189,0.012835032,-0.013407821,-0.004818384,-0.025992815,-0.013883909,-0.015767379,-0.033852402
AJG,0.006426294,-0.009197046,-0.004051418,-0.000352192,-0.00385892,0.008312646,0.001771829,0.002842928,0.002851034,0.001963953,-0.015295411,-0.000878254,0.001231076,-0.003679674,0.003869868,-0.002456641,0.00582425,0.007467958,0.001602849,-0.00301843,-0.001418475,-0.008090028,0.001408982,-0.016966742
AIZ,-0.000526292,-0.006898673,0.002409849,0.011981805,-0.012460754,0.0099408,-0.005259836,-0.002936837,-0.002511048,0.001362022,-0.022529493,-0.013337365,0.003854397,-0.004342567,-0.004724103,0.000804688,-0.00230826,-0.00330101,0.004925593,-0.001204769,0.000200803,-0.002903785,0.001203038,-0.010907268
T,0.002886673,0.000481372,-0.005028712,0.007478818,-0.002646776,0.001687129,-0.004558493,0.00072024,0,-0.010218631,-0.008014993,-0.004459117,0.004005702,-0.003521977,0.011879306,-0.006608426,0.000472279,0.009775847,0.004069883,-0.002626576,-0.00190653,-0.001190169,-0.001426242,0.000713582
ADSK,-0.005152852,-0.012489904,0.001737732,-0.000925949,0.010881022,0.000351112,-0.012025913,0.00921929,0.012884208,0.01147775,-0.031047278,0.001159812,-0.005880341,-0.018891391,0.028983796,-0.008997554,0.00661866,0.022317249,0.009345783,0.016936749,-0.010489534,-0.02789496,-0.02290426,-0.018104127
